row_label,strat_type,sex,value,breakdown_cat_label,breakdown_var,outcome_var,table_id
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Male,23.8,tertiary,education,hourly_wage,Tav.1
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Male,18.7,total,education,hourly_wage,Tav.1
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Total,12.2,≤ lower secondary,education,hourly_wage,Tav.1
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Total,15.9,upper secondary,education,hourly_wage,Tav.1
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Total,22.4,tertiary,education,hourly_wage,Tav.1
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Total,17.3,total,education,hourly_wage,Tav.1
CJ - Fabbricazioni di apparecchi elettrici,sector,Female,11.4,≤ lower secondary,education,hourly_wage,Tav.1
CJ - Fabbricazioni di apparecchi elettrici,sector,Female,13.4,upper secondary,education,hourly_wage,Tav.1
CJ - Fabbricazioni di apparecchi elettrici,sector,Female,17.6,tertiary,education,hourly_wage,Tav.1
CJ - Fabbricazioni di apparecchi elettrici,sector,Female,13.7,total,education,hourly_wage,Tav.1
CJ - Fabbricazioni di apparecchi elettrici,sector,Male,13.2,≤ lower secondary,education,hourly_wage,Tav.1
CJ - Fabbricazioni di apparecchi elettrici,sector,Male,16,upper secondary,education,hourly_wage,Tav.1
CJ - Fabbricazioni di apparecchi elettrici,sector,Male,23.4,tertiary,education,hourly_wage,Tav.1
CJ - Fabbricazioni di apparecchi elettrici,sector,Male,16.7,total,education,hourly_wage,Tav.1
CJ - Fabbricazioni di apparecchi elettrici,sector,Total,12.6,≤ lower secondary,education,hourly_wage,Tav.1
CJ - Fabbricazioni di apparecchi elettrici,sector,Total,15.3,upper secondary,education,hourly_wage,Tav.1
CJ - Fabbricazioni di apparecchi elettrici,sector,Total,21.6,tertiary,education,hourly_wage,Tav.1
CJ - Fabbricazioni di apparecchi elettrici,sector,Total,15.8,total,education,hourly_wage,Tav.1
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Female,12.2,≤ lower secondary,education,hourly_wage,Tav.1
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Female,14.8,upper secondary,education,hourly_wage,Tav.1
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Female,17.6,tertiary,education,hourly_wage,Tav.1
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Female,15.1,total,education,hourly_wage,Tav.1
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Male,14.2,≤ lower secondary,education,hourly_wage,Tav.1
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Male,16.8,upper secondary,education,hourly_wage,Tav.1
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Male,24.6,tertiary,education,hourly_wage,Tav.1
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Male,17.3,total,education,hourly_wage,Tav.1
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Total,14,≤ lower secondary,education,hourly_wage,Tav.1
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Total,16.4,upper secondary,education,hourly_wage,Tav.1
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Total,22.6,tertiary,education,hourly_wage,Tav.1
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Total,16.9,total,education,hourly_wage,Tav.1
CL - Fabbricazione di mezzi di trasporto,sector,Female,12.1,≤ lower secondary,education,hourly_wage,Tav.1
CL - Fabbricazione di mezzi di trasporto,sector,Female,14.7,upper secondary,education,hourly_wage,Tav.1
CL - Fabbricazione di mezzi di trasporto,sector,Female,19.6,tertiary,education,hourly_wage,Tav.1
CL - Fabbricazione di mezzi di trasporto,sector,Female,15.9,total,education,hourly_wage,Tav.1
CL - Fabbricazione di mezzi di trasporto,sector,Male,13.7,≤ lower secondary,education,hourly_wage,Tav.1
CL - Fabbricazione di mezzi di trasporto,sector,Male,16.3,upper secondary,education,hourly_wage,Tav.1
CL - Fabbricazione di mezzi di trasporto,sector,Male,24.5,tertiary,education,hourly_wage,Tav.1
CL - Fabbricazione di mezzi di trasporto,sector,Male,17.5,total,education,hourly_wage,Tav.1
CL - Fabbricazione di mezzi di trasporto,sector,Total,13.4,≤ lower secondary,education,hourly_wage,Tav.1
CL - Fabbricazione di mezzi di trasporto,sector,Total,16,upper secondary,education,hourly_wage,Tav.1
CL - Fabbricazione di mezzi di trasporto,sector,Total,23.2,tertiary,education,hourly_wage,Tav.1
CL - Fabbricazione di mezzi di trasporto,sector,Total,17.2,total,education,hourly_wage,Tav.1
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Female,11.1,≤ lower secondary,education,hourly_wage,Tav.1
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Female,12.7,upper secondary,education,hourly_wage,Tav.1
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Female,15,tertiary,education,hourly_wage,Tav.1
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Female,12.8,total,education,hourly_wage,Tav.1
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Male,12.4,≤ lower secondary,education,hourly_wage,Tav.1
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Male,14.2,upper secondary,education,hourly_wage,Tav.1
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Male,19.8,tertiary,education,hourly_wage,Tav.1
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Male,14.2,total,education,hourly_wage,Tav.1
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Total,12.1,≤ lower secondary,education,hourly_wage,Tav.1
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Total,13.8,upper secondary,education,hourly_wage,Tav.1
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Total,17.9,tertiary,education,hourly_wage,Tav.1
"CM - Altre industrie manifatturiere, riparazioni ed installazione",sector,Total,13.8,total,education,hourly_wage,Tav.1
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Female,16.6,≤ lower secondary,education,hourly_wage,Tav.1
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Female,17.8,upper secondary,education,hourly_wage,Tav.1
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Female,21.7,tertiary,education,hourly_wage,Tav.1
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Female,19.8,total,education,hourly_wage,Tav.1
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Male,17.6,≤ lower secondary,education,hourly_wage,Tav.1
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Male,20.8,upper secondary,education,hourly_wage,Tav.1
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Male,27.5,tertiary,education,hourly_wage,Tav.1
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Male,22.4,total,education,hourly_wage,Tav.1
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Total,17.5,≤ lower secondary,education,hourly_wage,Tav.1
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Total,20.3,upper secondary,education,hourly_wage,Tav.1
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Total,25.4,tertiary,education,hourly_wage,Tav.1
"D - Fornitura di energia elettrica, gas, vapore e aria condizionata",sector,Total,21.8,total,education,hourly_wage,Tav.1
