row_label,strat_type,sex,breakdown_cat,value,breakdown_var,outcome_var,table_id,nuts1
CG - Produzione di articoli in gomma e materie plastiche,sector,Total,total,15.1,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Female,≤ lower secondary,11.6,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Female,upper secondary,13.2,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Female,tertiary,16.8,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Female,total,13.4,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Male,≤ lower secondary,13,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Male,upper secondary,14.3,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Male,tertiary,20.9,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Male,total,14.2,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Total,≤ lower secondary,12.9,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Total,upper secondary,14.1,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Total,tertiary,19.5,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Total,total,14.1,education,hourly_wage,Tav.1,NA
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Female,≤ lower secondary,10.9,education,hourly_wage,Tav.1,NA
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Female,upper secondary,13.5,education,hourly_wage,Tav.1,NA
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Female,tertiary,18.6,education,hourly_wage,Tav.1,NA
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Female,total,14.3,education,hourly_wage,Tav.1,NA
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Male,≤ lower secondary,13.4,education,hourly_wage,Tav.1,NA
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Male,upper secondary,16.7,education,hourly_wage,Tav.1,NA
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Male,tertiary,23.8,education,hourly_wage,Tav.1,NA
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Male,total,18.7,education,hourly_wage,Tav.1,NA
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Total,≤ lower secondary,12.2,education,hourly_wage,Tav.1,NA
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Total,upper secondary,15.9,education,hourly_wage,Tav.1,NA
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Total,tertiary,22.4,education,hourly_wage,Tav.1,NA
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Total,total,17.3,education,hourly_wage,Tav.1,NA
CJ - Fabbricazioni di apparecchi elettrici,sector,Female,≤ lower secondary,11.4,education,hourly_wage,Tav.1,NA
CJ - Fabbricazioni di apparecchi elettrici,sector,Female,upper secondary,13.4,education,hourly_wage,Tav.1,NA
CJ - Fabbricazioni di apparecchi elettrici,sector,Female,tertiary,17.6,education,hourly_wage,Tav.1,NA
CJ - Fabbricazioni di apparecchi elettrici,sector,Female,total,13.7,education,hourly_wage,Tav.1,NA
CJ - Fabbricazioni di apparecchi elettrici,sector,Male,≤ lower secondary,13.2,education,hourly_wage,Tav.1,NA
CJ - Fabbricazioni di apparecchi elettrici,sector,Male,upper secondary,16,education,hourly_wage,Tav.1,NA
CJ - Fabbricazioni di apparecchi elettrici,sector,Male,tertiary,23.4,education,hourly_wage,Tav.1,NA
CJ - Fabbricazioni di apparecchi elettrici,sector,Male,total,16.7,education,hourly_wage,Tav.1,NA
CJ - Fabbricazioni di apparecchi elettrici,sector,Total,≤ lower secondary,12.6,education,hourly_wage,Tav.1,NA
CJ - Fabbricazioni di apparecchi elettrici,sector,Total,upper secondary,15.3,education,hourly_wage,Tav.1,NA
CJ - Fabbricazioni di apparecchi elettrici,sector,Total,tertiary,21.6,education,hourly_wage,Tav.1,NA
CJ - Fabbricazioni di apparecchi elettrici,sector,Total,total,15.8,education,hourly_wage,Tav.1,NA
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Female,≤ lower secondary,12.2,education,hourly_wage,Tav.1,NA
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Female,upper secondary,14.8,education,hourly_wage,Tav.1,NA
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Female,tertiary,17.6,education,hourly_wage,Tav.1,NA
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Female,total,15.1,education,hourly_wage,Tav.1,NA
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Male,≤ lower secondary,14.2,education,hourly_wage,Tav.1,NA
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Male,upper secondary,16.8,education,hourly_wage,Tav.1,NA
CK - Fabbricazioni di macchinari ed apparecchi n.c.a.,sector,Male,tertiary,24.6,education,hourly_wage,Tav.1,NA
